Date,Open,High,Low,Close,Adj Close,Volume,compound,neg,neu,pos
2014/1/2,54.830002,55.220001,54.189999,54.709998999999996,54.709998999999996,43195500,0.6124,0.0,0.861,0.139
2014/1/3,55.02,55.650002,54.529999,54.560001,54.560001,38246200,-0.7783,0.077,0.923,0.0
2014/1/6,54.419998,57.259997999999996,54.049999,57.200001,57.200001,68852600,0.9194,0.025,0.897,0.078
2014/1/7,57.700001,58.549999,57.220001,57.919998,57.919998,77207400,0.296,0.033,0.922,0.046
2014/1/8,57.599998,58.41,57.23,58.23,58.23,56682400,0.8885,0.0,0.816,0.184
2014/1/9,58.650002,58.959998999999996,56.650002,57.220001,57.220001,92253300,-0.0258,0.079,0.844,0.078
2014/1/10,57.130001,58.299999,57.060001,57.939999,57.939999,42449500,0.5423,0.0,0.952,0.048
2014/1/13,57.91,58.25,55.380001,55.91,55.91,63010900,0.8074,0.024,0.864,0.112
2014/1/14,56.459998999999996,57.779999,56.099998,57.740002000000004,57.740002000000004,37503600,0.9477,0.017,0.847,0.137
2014/1/15,57.98,58.57,57.27,57.599998,57.599998,33663400,-0.4201,0.116,0.786,0.097
2014/1/16,57.259997999999996,58.02,56.830002,57.189999,57.189999,34541800,0.8625,0.014,0.914,0.072
2014/1/17,57.299999,57.82,56.07,56.299999,56.299999,40849200,0,0,0,0
2014/1/21,56.599998,58.580002,56.5,58.509997999999996,58.509997999999996,48669200,0.9324,0.023,0.818,0.159
2014/1/22,58.849998,59.310001,57.099998,57.509997999999996,57.509997999999996,61352900,-0.7884,0.062,0.899,0.04
2014/1/23,56.369999,56.68,55.689999,56.630001,56.630001,47951800,0.9878,0.065,0.746,0.189
2014/1/24,56.150002,56.419998,54.400002,54.450001,54.450001,55200700,0.6124,0.0,0.942,0.058
2014/1/27,54.73,54.939999,51.849998,53.549999,53.549999,73924100,0.4914,0.05,0.879,0.071
2014/1/28,54.02,55.279999,54.0,55.139998999999996,55.139998999999996,48191200,0.2732,0.028,0.925,0.047
2014/1/29,54.610001000000004,54.950001,53.189999,53.529999,53.529999,92995600,0.9915,0.032,0.83,0.137
